c1p1-dc-fsmo01.GAZPROM.LOC
c1p1-dc-gc04.CNTR.gazprom.loc
c1p1-dc-gc10.URAL.GAZPROM.LOC
c1p1-dc-gc06.SEVZ.GAZPROM.LOC
c1p1-dc-gc08.YUG.GAZPROM.LOC
c1p1-dc-gc12.SIBR.GAZPROM.LOC
